paper_id,avg_period,pollutant,pollutant_raw,setting,unit,summary_type,value,variability_type,variability_value,unit_norm,summary_type_norm,who_band
Jang_2024_1053,Annual average,PM2.5,PM2.5,Not specified,μg/m³,Mean,18.2,SD,2.9,μg/m³,mean,Moderate (10.1–35 — meets IT-3/IT-2/IT-1)
Craver_ 2024_8237,Annual average,PM2.5,PM2.5,Not specified,μg/m³,Mean,8.9,NA,NA,μg/m³,mean,Low (≤10 — meets AQG/IT-4)
Aretz_2024_4320,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,14.84,NA,NA,μg/m³,mean,Moderate (10.1–35 — meets IT-3/IT-2/IT-1)
Tian_2024_6498,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,10.65,SD,1.95,μg/m³,mean,Moderate (10.1–35 — meets IT-3/IT-2/IT-1)
Mercoeur_2024_9137,Annual average,NO2,NO2,Outdoor,μg/m³,Mean,37.08,SD,16.94,μg/m³,mean,Moderate (20.1–40 — meets IT-2/IT-1)
Lubner_2024_6006,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,8.13,NA,NA,μg/m³,mean,Low (≤10 — meets AQG/IT-4)
Abramson_2020_0549,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,17.5,SD,1.45,μg/m³,mean,Moderate (10.1–35 — meets IT-3/IT-2/IT-1)
Darras-Hostens_2024_2006,Annual average,NO2,NO2,Outdoor,μg/m³,Mean,26.05,NA,NA,μg/m³,mean,Moderate (20.1–40 — meets IT-2/IT-1)
Macchi_2019_3188,Annual average,PM10,PM10,Outdoor,μg/m³,Mean,40.12,NA,4.17,μg/m³,mean,Moderate (20.1–70 — meets IT-3/IT-2/IT-1)
Sarkar_2019_2141,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,9.91,SD,1.03,μg/m³,mean,Low (≤10 — meets AQG/IT-4)
