paper_id,avg_period,pollutant,pollutant_raw,setting,unit,summary_type,value,variability_type,variability_value,unit_norm,summary_type_norm,value_ugm3,who_band
Zhao_2024_3435,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,54.8,SD,23.5,μg/m³,mean,54.8,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Zhang_2024_1897,Daily average,Black Carbon,BC,Indoor,μg/m³,Mean,0.61,SD,0.25,μg/m³,mean,0.61,No WHO 24-hr guideline available
Li_2024_2688,Daily average,PM2.5,PM 2.5,Outdoor,μg/m³,Mean,65.2,SD,6.8,μg/m³,mean,65.2,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Peng_2023_5803,Daily average,O3,O₃,Outdoor,μg/m³,Mean,96.63,SD,5.6,μg/m³,mean,96.63,No WHO 24-hr guideline available
Zu_2024_0104,Daily average,PM1,PM1 (First trimester),Outdoor,μg/m³,Mean,33.52,SD,8.62,μg/m³,mean,33.52,No WHO 24-hr guideline available
Hwang_2020_6239,Daily average,PM2.5,PM 2.5,Not specified,μg/m³,Mean,32.1,SD,2.8,μg/m³,mean,32.1,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Vrijens_2020_5156,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,13.43,SD,2.55,μg/m³,mean,13.43,Low (≤25 — meets AQG/IT-4)
Li_2023_7518,Daily average,PM1,PM1,Outdoor,μg/m³,Mean,30.4,SD,11.3,μg/m³,mean,30.4,No WHO 24-hr guideline available
Raqib_2023_8137,Daily average,PM2.5,"PM2.5 (baseline, pre-intervention)",Not specified,μg/m³,Mean,158.9,SD,73.7,μg/m³,mean,158.9,High (>75 — exceeds all interim targets)
Chi_2019_2521,Daily average,PM2.5,"PM2.5,in",Indoor,μg/m³,Mean,76.5,IQR,66.1,μg/m³,mean,76.5,High (>75 — exceeds all interim targets)
Ye_2020_4816,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,53.9,SD,30.6,μg/m³,mean,53.9,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Yu_2023_9906,Daily average,PM2.5,"PM2.5 ,low exposure group",Outdoor,μg/m³,Mean,19.02,SD,1.02,μg/m³,mean,19.02,Low (≤25 — meets AQG/IT-4)
Kogevinas_2023_1989,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,16.4,SD,1.4,μg/m³,mean,16.4,Low (≤25 — meets AQG/IT-4)
Shaffer_2019_0563,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,8.1,SD,4.6,μg/m³,mean,8.1,Low (≤25 — meets AQG/IT-4)
Wei_2023_4322,Daily average,PM2.5,PM2.5 lag0,Outdoor,μg/m³,Mean,35.19,SD 27.32,NA,μg/m³,mean,35.19,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Poniedziałek_2023_8962,Daily average,PM10,PM10,Outdoor,μg/m³,Mean,24.3,SD,11.1,μg/m³,mean,24.3,Low (≤50 — meets AQG/IT-4)
Wu_2021_5619,Daily average,PM2.5,PM 2.5,Outdoor,μg/m³,Mean,38.87,SD,19.56,μg/m³,mean,38.87,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
